team,season,week,week_label,elo,previous_elo,elo_change,rank,previous_rank,rank_change,conference,classification,logo_url,color
UConn,2026,0,Preseason,1555.2290903391015,,,46,,,FBS Independents,fbs,https://cdn.collegefootballdata.com/logos/500/41.png,#000e2f
Iowa State,2026,0,Preseason,1555.1890475097337,,,47,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/66.png,#c8102e
Pittsburgh,2026,0,Preseason,1554.260476450252,,,48,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/221.png,#003594
Kansas State,2026,0,Preseason,1552.1603711975822,,,49,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2306.png,#512888
Kennesaw State,2026,0,Preseason,1547.9051748495106,,,50,,,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/338.png,#fdbb30
Houston,2026,0,Preseason,1545.5849096545655,,,51,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/248.png,#c8102e
NC State,2026,0,Preseason,1545.0813579300527,,,52,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/152.png,#cc0000
San Diego State,2026,0,Preseason,1543.0899933025844,,,53,,,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/21.png,#a6192e
Army,2026,0,Preseason,1542.792987432669,,,54,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/349.png,#000000
Georgia Tech,2026,0,Preseason,1540.2035768972985,,,55,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/59.png,#b3a369
Hawai'i,2026,0,Preseason,1539.3069194435004,,,56,,,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/62.png,#024731
UTSA,2026,0,Preseason,1537.41891509091,,,57,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/2636.png,#0c2340
LSU,2026,0,Preseason,1535.9880871787095,,,58,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/99.png,#461d7c
Texas State,2026,0,Preseason,1535.1318219163334,,,59,,,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/326.png,#501214
Memphis,2026,0,Preseason,1533.8404701636528,,,60,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/235.png,#00498f
Minnesota,2026,0,Preseason,1533.4770148331802,,,61,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/135.png,#7a0019
Fresno State,2026,0,Preseason,1533.2303223696422,,,62,,,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/278.png,#c41230
Washington State,2026,0,Preseason,1528.3427839029807,,,63,,,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/265.png,#a60f2d
Jacksonville State,2026,0,Preseason,1527.7581412162317,,,64,,,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/55.png,#cc0000
Wake Forest,2026,0,Preseason,1525.52785010064,,,65,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/154.png,#ceb888
Western Kentucky,2026,0,Preseason,1517.7785302016057,,,66,,,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/98.png,#c60c30
Troy,2026,0,Preseason,1512.5762840482198,,,67,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/2653.png,#862633
Miami (OH),2026,0,Preseason,1511.1033514255398,,,68,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/193.png,#c41230
Louisiana Tech,2026,0,Preseason,1510.0300256046885,,,69,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/2348.png,#003087
Northwestern,2026,0,Preseason,1505.1425492062172,,,70,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/77.png,#582c83
Cincinnati,2026,0,Preseason,1502.998214160402,,,71,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2132.png,#000000
Florida International,2026,0,Preseason,1501.9097653012398,,,72,,,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/2229.png,#091f3f
Marshall,2026,0,Preseason,1497.3491794614752,,,73,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/276.png,#00b140
Louisiana,2026,0,Preseason,1497.3148691611452,,,74,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/309.png,#ce181e
Nebraska,2026,0,Preseason,1495.8941917944223,,,75,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/158.png,#d00000
Georgia Southern,2026,0,Preseason,1494.4331812424582,,,76,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/290.png,#041e42
South Carolina,2026,0,Preseason,1494.320358212371,,,77,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/2579.png,#73000a
Florida,2026,0,Preseason,1489.0344532080242,,,78,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/57.png,#0021a5
Rutgers,2026,0,Preseason,1487.9759815307152,,,79,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/164.png,#ce0e2d
Sacramento State,2026,0,Preseason,1486.5857028698963,,,80,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/16.png,#00573c
Utah State,2026,0,Preseason,1485.2048776989277,,,81,,,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/328.png,#0f2439
Auburn,2026,0,Preseason,1484.675196821289,,,82,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/2.png,#0c2340
Kentucky,2026,0,Preseason,1483.2431416695604,,,83,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/96.png,#0033a0
Arkansas State,2026,0,Preseason,1480.6912168696324,,,84,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/2032.png,#cc092f
Baylor,2026,0,Preseason,1480.2533262580794,,,85,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/239.png,#154734
Kansas,2026,0,Preseason,1477.6789091929445,,,86,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2305.png,#0051ba
Delaware,2026,0,Preseason,1477.167086719328,,,87,,,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/48.png,#00539f
Central Michigan,2026,0,Preseason,1475.3381303509643,,,88,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2117.png,#6a0032
Wisconsin,2026,0,Preseason,1473.9601920346815,,,89,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/275.png,#a00000
Missouri State,2026,0,Preseason,1473.5319685214838,,,90,,,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/2623.png,#5e0009
California,2026,0,Preseason,1473.5151055353765,,,91,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/25.png,#041e42
Coastal Carolina,2026,0,Preseason,1465.6293317605607,,,92,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/324.png,#006f71
Florida State,2026,0,Preseason,1461.050149762522,,,93,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/52.png,#782f40
West Virginia,2026,0,Preseason,1460.572543971418,,,94,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/277.png,#eaaa00
UCF,2026,0,Preseason,1457.69811320424,,,95,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2116.png,#000000
Air Force,2026,0,Preseason,1456.9703125768654,,,96,,,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2005.png,#003594
Liberty,2026,0,Preseason,1455.1735817861277,,,97,,,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/2335.png,#0a254e
South Alabama,2026,0,Preseason,1450.5733771209768,,,98,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/6.png,#00205b
Stanford,2026,0,Preseason,1450.3534246339043,,,99,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/24.png,#8c1515
Mississippi State,2026,0,Preseason,1446.093334628961,,,100,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/344.png,#5d1725
Southern Miss,2026,0,Preseason,1443.9274352029,,,101,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/2572.png,#ffc72c
App State,2026,0,Preseason,1442.9110524256903,,,102,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/2026.png,#000000
UCLA,2026,0,Preseason,1441.0299918164378,,,103,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/26.png,#2774ae
Colorado,2026,0,Preseason,1440.0184663924551,,,104,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/38.png,#cfb87c
North Carolina,2026,0,Preseason,1437.6985351094552,,,105,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/153.png,#7bafd4
Eastern Michigan,2026,0,Preseason,1434.660687778685,,,106,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2199.png,#046a38
Buffalo,2026,0,Preseason,1434.409536341224,,,107,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2084.png,#005bbb
Michigan State,2026,0,Preseason,1433.6794896490076,,,108,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/127.png,#173f35
Temple,2026,0,Preseason,1433.65854010636,,,109,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/218.png,#a41e35
Arkansas,2026,0,Preseason,1429.719242046389,,,110,,,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/8.png,#a32136
Boston College,2026,0,Preseason,1427.7940922049836,,,111,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/103.png,#8c2232
Maryland,2026,0,Preseason,1426.0105390866283,,,112,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/120.png,#ce1126
Wyoming,2026,0,Preseason,1423.4224869117954,,,113,,,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2751.png,#492f24
Virginia Tech,2026,0,Preseason,1423.0122385105306,,,114,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/259.png,#861f41
Akron,2026,0,Preseason,1420.0096534495292,,,115,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2006.png,#041e42
Rice,2026,0,Preseason,1418.5793882646117,,,116,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/242.png,#00205b
Nevada,2026,0,Preseason,1417.143922766972,,,117,,,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2440.png,#041e42
Florida Atlantic,2026,0,Preseason,1416.1057534575102,,,118,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/2226.png,#003366
Bowling Green,2026,0,Preseason,1416.0972014705342,,,119,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/189.png,#fd5000
UAB,2026,0,Preseason,1413.8444018099715,,,120,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/5.png,#1a5632
Kent State,2026,0,Preseason,1411.07295339726,,,121,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2309.png,#002664
Northern Illinois,2026,0,Preseason,1405.460583584727,,,122,,,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2459.png,#c8102e
Syracuse,2026,0,Preseason,1402.9470525670572,,,123,,,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/183.png,#f76900
New Mexico State,2026,0,Preseason,1397.6093998595886,,,124,,,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/166.png,#8c0b42
Purdue,2026,0,Preseason,1395.663639248335,,,125,,,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/2509.png,#ceb888
San José State,2026,0,Preseason,1395.1486351657545,,,126,,,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/23.png,#0055a2
Middle Tennessee,2026,0,Preseason,1394.1139349010684,,,127,,,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/2393.png,#036eb7
Tulsa,2026,0,Preseason,1389.532976078513,,,128,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/202.png,#003595
Ball State,2026,0,Preseason,1387.3654929875554,,,129,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2050.png,#ba0c2f
Colorado State,2026,0,Preseason,1378.800245892688,,,130,,,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/36.png,#1e4d2b
Sam Houston,2026,0,Preseason,1377.167221630305,,,131,,,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/2534.png,#f56423
UTEP,2026,0,Preseason,1369.3742868042764,,,132,,,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2638.png,#ff8200
Oregon State,2026,0,Preseason,1367.6609538461498,,,133,,,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/204.png,#dc4405
UL Monroe,2026,0,Preseason,1358.2424539622318,,,134,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/2433.png,#840029
Oklahoma State,2026,0,Preseason,1349.4889716176451,,,135,,,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/197.png,#fe5c00
Georgia State,2026,0,Preseason,1342.3203024386726,,,136,,,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/2247.png,#0039a6
Charlotte,2026,0,Preseason,1336.2459533563492,,,137,,,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/2429.png,#005035
Massachusetts,2026,0,Preseason,1275.8009404863235,,,138,,,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/113.png,#881c1c
Indiana,2026,1,Week 1,1735.5688686835929,1735.5688686835929,0.0,1,1,0,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/84.png,#990000
Ohio State,2026,1,Week 1,1705.9719672628385,1705.9719672628385,0.0,2,2,0,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/194.png,#ba0c2f
Oregon,2026,1,Week 1,1694.5655242616651,1694.5655242616651,0.0,3,3,0,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/2483.png,#007030
Notre Dame,2026,1,Week 1,1694.1628909897222,1694.1628909897222,0.0,4,4,0,FBS Independents,fbs,https://cdn.collegefootballdata.com/logos/500/87.png,#0c2340
Georgia,2026,1,Week 1,1693.224575457329,1693.224575457329,0.0,5,5,0,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/61.png,#ba0c2f
Texas Tech,2026,1,Week 1,1691.1928261559715,1691.1928261559715,0.0,6,6,0,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2641.png,#c30020
Miami,2026,1,Week 1,1662.513071160066,1662.513071160066,0.0,7,7,0,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/2390.png,#f47321
James Madison,2026,1,Week 1,1660.2578485256877,1660.2578485256877,0.0,8,8,0,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/256.png,#450084
Ole Miss,2026,1,Week 1,1659.858267573581,1659.858267573581,0.0,9,9,0,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/145.png,#13294b
Utah,2026,1,Week 1,1654.181022290467,1654.181022290467,0.0,10,10,0,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/254.png,#be0000
Texas,2026,1,Week 1,1637.297616546036,1637.297616546036,0.0,11,11,0,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/251.png,#bf5700
Texas A&M,2026,1,Week 1,1631.8821367470584,1631.8821367470584,0.0,12,12,0,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/245.png,#500000
BYU,2026,1,Week 1,1630.2862112305315,1630.2862112305315,0.0,13,13,0,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/252.png,#003da5
Vanderbilt,2026,1,Week 1,1627.2364314164015,1627.2364314164015,0.0,14,14,0,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/238.png,#000000
SMU,2026,1,Week 1,1621.402948204708,1621.402948204708,0.0,15,15,0,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/2567.png,#d70000
Alabama,2026,1,Week 1,1619.358465512277,1619.358465512277,0.0,16,16,0,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/333.png,#9e1b32
Iowa,2026,1,Week 1,1616.913796892786,1616.913796892786,0.0,17,17,0,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/2294.png,#000000
Tulane,2026,1,Week 1,1611.181549493111,1611.181549493111,0.0,18,18,0,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/2655.png,#006747
USC,2026,1,Week 1,1608.45028791774,1608.45028791774,0.0,19,19,0,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/30.png,#990000
Oklahoma,2026,1,Week 1,1607.823028534849,1607.823028534849,0.0,20,20,0,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/201.png,#841617
North Dakota State,2026,1,Week 1,1602.779589710495,1602.779589710495,0.0,21,21,0,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2449.png,#00583d
Navy,2026,1,Week 1,1601.3291129416234,1601.3291129416234,0.0,22,22,0,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/2426.png,#00225b
Arizona,2026,1,Week 1,1599.7856041353618,1599.7856041353618,0.0,23,23,0,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/12.png,#cc0033
North Texas,2026,1,Week 1,1591.2477817720835,1591.2477817720835,0.0,24,24,0,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/249.png,#00853e
Old Dominion,2026,1,Week 1,1588.5324959172528,1588.5324959172528,0.0,25,25,0,Sun Belt,fbs,https://cdn.collegefootballdata.com/logos/500/295.png,#043657
Duke,2026,1,Week 1,1587.6713579725315,1587.6713579725315,0.0,26,26,0,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/150.png,#00539b
Penn State,2026,1,Week 1,1587.572500466167,1587.572500466167,0.0,27,27,0,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/213.png,#001e44
Michigan,2026,1,Week 1,1582.2867760680404,1582.2867760680404,0.0,28,28,0,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/130.png,#00274c
TCU,2026,1,Week 1,1581.8805200012553,1581.8805200012553,0.0,29,29,0,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2628.png,#4d1979
Washington,2026,1,Week 1,1581.6004864454844,1581.6004864454844,0.0,30,30,0,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/264.png,#33006f
South Florida,2026,1,Week 1,1581.331991608591,1581.331991608591,0.0,31,31,0,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/58.png,#006747
Louisville,2026,1,Week 1,1581.193204205372,1581.193204205372,0.0,32,32,0,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/97.png,#c9001f
Clemson,2026,1,Week 1,1578.3657784609882,1578.3657784609882,0.0,33,33,0,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/228.png,#f56600
Boise State,2026,1,Week 1,1574.395318627321,1574.395318627321,0.0,34,34,0,Pac-12,fbs,https://cdn.collegefootballdata.com/logos/500/68.png,#0033a0
Ohio,2026,1,Week 1,1570.681585273353,1570.681585273353,0.0,35,35,0,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/195.png,#024230
Virginia,2026,1,Week 1,1570.2225112114895,1570.2225112114895,0.0,36,36,0,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/258.png,#232d4b
UNLV,2026,1,Week 1,1570.0720143662957,1570.0720143662957,0.0,37,37,0,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/2439.png,#cf0a2c
Western Michigan,2026,1,Week 1,1567.5185725999545,1567.5185725999545,0.0,38,38,0,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2711.png,#532e1f
Toledo,2026,1,Week 1,1567.2256952957655,1567.2256952957655,0.0,39,39,0,Mid-American,fbs,https://cdn.collegefootballdata.com/logos/500/2649.png,#0b2240
Tennessee,2026,1,Week 1,1563.6167739032908,1563.6167739032908,0.0,40,40,0,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/2633.png,#ff8200
Arizona State,2026,1,Week 1,1561.173047086888,1561.173047086888,0.0,41,41,0,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/9.png,#ffc627
East Carolina,2026,1,Week 1,1560.4163023310432,1560.4163023310432,0.0,42,42,0,American Athletic,fbs,https://cdn.collegefootballdata.com/logos/500/151.png,#592a8a
Missouri,2026,1,Week 1,1558.6627657128602,1558.6627657128602,0.0,43,43,0,SEC,fbs,https://cdn.collegefootballdata.com/logos/500/142.png,#f1b82d
New Mexico,2026,1,Week 1,1557.0311950094444,1557.0311950094444,0.0,44,44,0,Mountain West,fbs,https://cdn.collegefootballdata.com/logos/500/167.png,#ba0c2f
Illinois,2026,1,Week 1,1556.6226518778712,1556.6226518778712,0.0,45,45,0,Big Ten,fbs,https://cdn.collegefootballdata.com/logos/500/356.png,#ff5f05
UConn,2026,1,Week 1,1555.2290903391015,1555.2290903391015,0.0,46,46,0,FBS Independents,fbs,https://cdn.collegefootballdata.com/logos/500/41.png,#000e2f
Iowa State,2026,1,Week 1,1555.1890475097337,1555.1890475097337,0.0,47,47,0,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/66.png,#c8102e
Pittsburgh,2026,1,Week 1,1554.260476450252,1554.260476450252,0.0,48,48,0,ACC,fbs,https://cdn.collegefootballdata.com/logos/500/221.png,#003594
Kansas State,2026,1,Week 1,1552.1603711975822,1552.1603711975822,0.0,49,49,0,Big 12,fbs,https://cdn.collegefootballdata.com/logos/500/2306.png,#512888
Kennesaw State,2026,1,Week 1,1547.9051748495106,1547.9051748495106,0.0,50,50,0,Conference USA,fbs,https://cdn.collegefootballdata.com/logos/500/338.png,#fdbb30
